number,draft,opened,closed,ballot_type,pool,vote_for,vote_against,vote_abstain,vote_invalid,comments,instructions_url,draft_url,redline_url,resolution_url,template_url,pool_url,project_id,project.task_group
117,4.00,2007-12-12,2008-01-05,WR,427,245,21,60,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB117w/Letter%20Ballot%20117%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/Draft%20P802.11w_D4.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/11-07-2943-00-000w-Redlined%20document%20D4.0-vs-3.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/11-07-2697-07-000w-lb114-comment-resolutions.xls,http://www.ieee802.org/11/LetterBallots/LB117w/LB117_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB117w/Voters-List-LB117.xls,115,TGw
118,0.00,2007-12-13,2008-01-05,WI,299,175,0,20,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB118k/Letter%20Ballot%20118%20Instructions.htm,http://www.ieee802.org/11/LetterBallots/LB118k/11-07-2959-02-000k-11k-sponsor-ballot-recirc-2-comment-resolutions(1).xls,,,http://www.ieee802.org/11/LetterBallots/LB118k/LB118_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB118k/Voters-List-LB118.xls,119,TGk
119,2.00,2008-01-27,2008-02-11,PROC,297,203,16,33,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB119u/Letter%20Ballot%20119%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/Draft%20P802.11u_D2.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/index.html,http://www.ieee802.org/11/LetterBallots/LB119u/LB119_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB119u/Voters-List-LB119.xls,64,TGu
120,1.04,2008-01-29,2008-02-13,PROC,297,213,13,27,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB120v/Letter%20Ballot%20120%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11v/Draft%20P802.11v_D1.04.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11v/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11v/index.html,http://www.ieee802.org/11/LetterBallots/LB120v/LB120_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB120v/Voters-List-LB120.xls,71,TGv
121,5.00,2008-02-05,2008-02-20,WR,427,259,14,55,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB121w/Letter%20Ballot%20121%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/P802.11w_D5.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/index.html,http://www.ieee802.org/11/LetterBallots/LB121w/LB121_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB121w/Voters-List-LB121.xls,115,TGw
122,2.00,2008-02-14,2008-03-15,WI,261,125,53,37,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB122u/LetterBallot122Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/Draft%20P802.11u_D2.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/index.html,http://www.ieee802.org/11/LetterBallots/LB122u/LB122_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB122u/Voters-List-LB122.xls,64,TGu
123,2.00,2008-02-14,2008-03-15,WI,261,126,62,34,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB123v/LetterBallot123Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11v/Draft%20P802.11v_D2.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11v/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11v/index.html,http://www.ieee802.org/11/LetterBallots/LB123v/LB123_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB123v/Voters-List-LB123.xls,71,TGv
124,4.00,2008-03-28,2008-04-12,WR,325,253,34,25,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB124n/LetterBallot124Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11n/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11n/index.html,https://mentor.ieee.org/802.11/file/07/11-07-2783-08-000n-tgn-lb115-editor-comments.xls,http://www.ieee802.org/11/LetterBallots/LB124n/LB124_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB124n/Voters-List-LB124.xls,74,TGn
125,4.00,2008-04-03,2008-05-03,WI,233,136,37,32,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB125p/LetterBallot125Instructions.htm,private/Draft_Standards/11p/Draft%20P802.11p%20D4.0.pdf,private/Draft_Standards/11p/index.html,private/Draft_Standards/11p/index.html,LetterBallots/LB125p/LB125_CommentForm.xls,LetterBallots/LB125p/Voters-List-LB125.xls,117,TGp
126,2.00,2008-04-03,2008-05-03,WI,233,103,67,36,,,LetterBallots/LB126s/LetterBallot126Instructions.htm,private/Draft_Standards/11s/Draft%20P802.11s_D2.0.pdf,,,LetterBallots/LB126s/LB126_CommentForm.xls,LetterBallots/LB126s/Voters-List-LB126.xls,40,TGs
